Commit	Status
25b764849625cb090e8b81d12d2bb2295d073788	{"book":"test-pass","cargo-miri":"test-fail","rls":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","reference":"test-pass","miri":"test-fail"}
d54fbb98555c107fb62fb5ae1a5b8f4fc6ed3edc	{"miri":"test-pass","rls":"test-pass","book":"test-pass","nomicon":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","reference":"test-pass","edition-guide":"test-pass","cargo-miri":"test-fail"}
6fe0886723c9e08b800c9951f1c6f6a57b2bf22c	{"reference":"test-pass","rust-by-example":"test-pass","miri":"test-pass","book":"test-pass","embedded-book":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail","edition-guide":"test-pass","nomicon":"test-pass","rls":"test-pass"}
7f3dc0464422ebadf3b8647f591bcf6e3107e805	{"embedded-book":"test-pass","book":"test-pass","rust-by-example":"test-pass","miri":"test-pass","rustbook":"test-fail","reference":"test-pass","edition-guide":"test-pass","rls":"test-pass","cargo-miri":"test-fail","nomicon":"test-pass"}
87d713ff2b000e3827ebb8be974b280188fac783	{"book":"test-pass","cargo-miri":"test-fail","reference":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","rls":"test-pass","rustbook":"test-fail","embedded-book":"test-pass","miri":"test-pass"}
49ca3d9796030fc0a85089460e9f825ceecc08ed	{"reference":"test-pass","miri":"test-pass","embedded-book":"test-pass","rls":"test-pass","cargo-miri":"test-fail","nomicon":"test-pass","book":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","edition-guide":"test-pass"}
71ff9b41e9ebd3e336019513917a7a8868d1cc66	{"embedded-book":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","cargo-miri":"test-fail","miri":"test-pass","nomicon":"test-pass","rls":"test-pass","reference":"test-pass","rustbook":"test-fail","book":"test-pass"}
bb744e1e9f1e193014ab3f04bf5e0640dbe4dc63	{"miri":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail","rls":"test-pass","rust-by-example":"test-pass","reference":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","book":"test-pass","nomicon":"test-pass"}
2b8de6f21286d6dbd7dd692af7da7dc6937861d3	{"reference":"test-pass","edition-guide":"test-pass","book":"test-pass","rust-by-example":"test-pass","miri":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail","rls":"test-pass","nomicon":"test-pass","embedded-book":"test-pass"}
a6ece56152d8eb11e049e9fcce147b2859e12c92	{"rls":"test-pass","reference":"test-pass","book":"test-pass","rustbook":"test-fail","miri":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","edition-guide":"test-pass","cargo-miri":"test-fail","embedded-book":"test-pass"}
c6bc102fea9f9274202d0bc55a0fef8a3bc92426	{"edition-guide":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","embedded-book":"test-pass","reference":"test-pass","rls":"test-pass","book":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail","miri":"test-pass"}
